,GSM_code,coordinates,sending_time
53,Kob_81,"(34.416179, 135.304584)",2015-02-08 23:51:25.864487
54,Osa_52,"(34.416388, 135.431406)",2015-02-08 23:51:25.877885
55,Fuk_10,"(33.188266, 130.596488)",2015-02-08 23:51:25.892843
56,Kob_30,"(34.431974, 135.242398)",2015-02-08 23:51:25.908817
57,Kob_49,"(34.421190, 135.591538)",2015-02-08 23:51:25.927080
58,Osa_30,"(34.442855, 135.106318)",2015-02-08 23:51:25.940851
59,Kob_50,"(34.432287, 135.458000)",2015-02-08 23:51:25.965645
60,Osa_23,"(34.436026, 135.457260)",2015-02-08 23:51:25.982535
61,Kob_77,"(34.445138, 134.746272)",2015-02-08 23:51:26.002434
62,Kob_16,"(34.433605, 135.572707)",2015-02-08 23:51:26.025740
63,Fuk_71,"(33.310861, 130.753876)",2015-02-08 23:51:26.051115
64,Kob_04,"(34.450586, 134.736076)",2015-02-08 23:51:26.072729
65,Kob_18,"(34.457585, 135.017383)",2015-02-08 23:51:26.094720
66,Kob_84,"(34.456871, 134.789300)",2015-02-08 23:51:26.115517
67,Osa_77,"(34.422099, 135.979778)",2015-02-08 23:51:26.135963
68,Kob_22,"(34.475788, 135.229641)",2015-02-08 23:51:26.152197
69,Kob_46,"(34.472969, 135.378493)",2015-02-08 23:51:26.167413
70,Kob_83,"(34.459662, 135.632094)",2015-02-08 23:51:26.181996
71,Osa_41,"(34.461878, 135.608971)",2015-02-08 23:51:26.206406
72,Fuk_79,"(33.272575, 130.630441)",2015-02-08 23:51:26.223978
73,Fuk_82,"(33.342724, 130.711568)",2015-02-08 23:51:26.241936
74,Fuk_73,"(33.302436, 130.638363)",2015-02-08 23:51:26.259726
75,Osa_98,"(34.505719, 135.164729)",2015-02-08 23:51:26.276341
76,Fuk_49,"(33.235310, 130.521786)",2015-02-08 23:51:26.352248
77,Kob_52,"(34.508058, 134.751357)",2015-02-08 23:51:26.376422
78,Fuk_06,"(33.376016, 130.728790)",2015-02-08 23:51:26.399639
79,Fuk_57,"(33.415440, 130.791280)",2015-02-08 23:51:26.426015
80,Fuk_91,"(33.190041, 130.419543)",2015-02-08 23:51:26.449908
81,Fuk_94,"(33.217016, 130.457138)",2015-02-08 23:51:26.469612
82,Osa_08,"(34.531352, 135.063785)",2015-02-08 23:51:26.485205
83,Osa_72,"(34.542883, 135.132626)",2015-02-08 23:51:26.500809
84,Kob_64,"(34.529600, 135.556800)",2015-02-08 23:51:26.529950
85,Fuk_35,"(33.459112, 130.804474)",2015-02-08 23:51:26.550295
86,Fuk_61,"(33.463893, 130.807003)",2015-02-08 23:51:26.575714
87,Osa_91,"(34.520213, 135.805611)",2015-02-08 23:51:26.600816
88,Fuk_97,"(33.455825, 130.783837)",2015-02-08 23:51:26.650083
89,Osa_84,"(34.513254, 135.906669)",2015-02-08 23:51:26.671882
90,Osa_27,"(34.561790, 135.310262)",2015-02-08 23:51:26.686324
91,Fuk_67,"(33.509051, 130.854274)",2015-02-08 23:51:26.704145
92,Osa_01,"(34.558112, 135.506292)",2015-02-08 23:51:26.722252
93,Kob_69,"(34.569187, 135.289285)",2015-02-08 23:51:26.751755
94,Osa_46,"(34.569635, 135.353384)",2015-02-08 23:51:26.766730
95,Osa_35,"(34.550217, 135.747610)",2015-02-08 23:51:26.783470
96,Osa_60,"(34.540472, 135.877369)",2015-02-08 23:51:26.797601
97,Fuk_55,"(33.462495, 130.727146)",2015-02-08 23:51:26.812021
98,Fuk_38,"(33.331885, 130.512674)",2015-02-08 23:51:26.826532
99,Fuk_31,"(33.202257, 130.310268)",2015-02-08 23:51:26.850338
100,Fuk_04,"(33.475444, 130.733217)",2015-02-08 23:51:26.868211
101,Kob_62,"(34.606469, 134.933400)",2015-02-08 23:51:26.888130
102,Osa_29,"(34.604169, 135.247388)",2015-02-08 23:51:26.906721
103,Kyo_79,"(34.582018, 135.678686)",2015-02-08 23:51:26.924747
104,Osa_92,"(34.575244, 135.767709)",2015-02-08 23:51:26.940302
105,Osa_57,"(34.568600, 135.851174)",2015-02-08 23:51:26.953984
106,Kyo_10,"(34.602769, 135.368346)",2015-02-08 23:51:26.966553
107,Kob_32,"(34.610345, 134.979401)",2015-02-08 23:51:26.982599
108,Kyo_73,"(34.596446, 135.525858)",2015-02-08 23:51:26.997006
109,Osa_26,"(34.592567, 135.640313)",2015-02-08 23:51:27.010498
110,Kyo_78,"(34.566456, 135.942510)",2015-02-08 23:51:27.027122
111,Kob_65,"(34.614844, 135.183096)",2015-02-08 23:51:27.052483
112,Fuk_75,"(33.486773, 130.711347)",2015-02-08 23:51:27.069662
113,Kob_41,"(34.623984, 134.937822)",2015-02-08 23:51:27.084559
114,Kyo_55,"(34.619002, 135.331994)",2015-02-08 23:51:27.100160
115,Fuk_19,"(33.285149, 130.366959)",2015-02-08 23:51:27.116357
116,Kyo_76,"(34.619833, 135.520802)",2015-02-08 23:51:27.131364
117,Fuk_41,"(33.325761, 130.409972)",2015-02-08 23:51:27.149452
118,Kob_93,"(34.629184, 135.434612)",2015-02-08 23:51:27.164070
119,Fuk_52,"(33.235603, 130.272902)",2015-02-08 23:51:27.178693
120,Kob_88,"(34.631136, 135.496343)",2015-02-08 23:51:27.194413
121,Kyo_38,"(34.617285, 135.718588)",2015-02-08 23:51:27.211771
122,Kyo_97,"(34.610775, 135.800849)",2015-02-08 23:51:27.230921
123,Osa_28,"(34.629706, 135.581944)",2015-02-08 23:51:27.246641
124,Kob_36,"(34.655935, 135.026663)",2015-02-08 23:51:27.262130
125,Kyo_52,"(34.604775, 135.979684)",2015-02-08 23:51:27.280158
126,Kyo_82,"(34.637857, 135.644373)",2015-02-08 23:51:27.295684
127,Kob_57,"(34.659382, 135.200207)",2015-02-08 23:51:27.308541
128,Osa_09,"(34.666083, 135.032276)",2015-02-08 23:51:27.328869
129,Osa_74,"(34.667007, 135.046590)",2015-02-08 23:51:27.344968
130,Fuk_58,"(33.508611, 130.645598)",2015-02-08 23:51:27.362679
131,Osa_24,"(34.663069, 135.295429)",2015-02-08 23:51:27.384336
132,Kob_56,"(34.655447, 135.582774)",2015-02-08 23:51:27.400806
133,Kob_92,"(34.674293, 134.947444)",2015-02-08 23:51:27.416410
134,Osa_44,"(34.670425, 135.275402)",2015-02-08 23:51:27.432803
135,Osa_81,"(34.653491, 135.622263)",2015-02-08 23:51:27.450001
136,Kyo_77,"(34.658701, 135.579682)",2015-02-08 23:51:27.577538
137,Fuk_60,"(33.265908, 130.246998)",2015-02-08 23:51:27.596302
138,Osa_86,"(34.631799, 135.922848)",2015-02-08 23:51:27.613012
139,Osa_32,"(34.668892, 135.449953)",2015-02-08 23:51:27.628763
140,Kyo_89,"(34.628197, 135.969260)",2015-02-08 23:51:27.646718
141,Fuk_44,"(33.154136, 130.079306)",2015-02-08 23:51:27.668785
142,Kob_67,"(34.686845, 135.053786)",2015-02-08 23:51:27.682831
143,Kob_23,"(34.683543, 135.293743)",2015-02-08 23:51:27.705094
144,Kyo_26,"(34.665275, 135.648417)",2015-02-08 23:51:27.728391
145,Fuk_81,"(33.502774, 130.587515)",2015-02-08 23:51:27.744900
146,Osa_56,"(34.665744, 135.702285)",2015-02-08 23:51:27.768371
147,Fuk_36,"(33.527933, 130.615931)",2015-02-08 23:51:27.783552
148,Kob_48,"(34.699796, 134.747879)",2015-02-08 23:51:27.800302
149,Kob_91,"(34.705281, 134.769998)",2015-02-08 23:51:27.824381
150,Osa_19,"(34.675592, 135.786495)",2015-02-08 23:51:27.843556
151,Osa_68,"(34.700309, 135.417403)",2015-02-08 23:51:27.861428
152,Osa_66,"(34.681428, 135.729860)",2015-02-08 23:51:27.878957
153,Kob_80,"(34.712355, 135.051214)",2015-02-08 23:51:27.894145
154,Osa_38,"(34.696417, 135.543378)",2015-02-08 23:51:27.906881
155,Kob_06,"(34.700313, 135.493374)",2015-02-08 23:51:27.926179
156,Osa_03,"(34.709559, 135.291875)",2015-02-08 23:51:27.943532
157,Osa_40,"(34.714624, 135.173605)",2015-02-08 23:51:27.964227
158,Fuk_70,"(33.305839, 130.231098)",2015-02-08 23:51:27.977597
159,Osa_95,"(34.706183, 135.456113)",2015-02-08 23:51:27.988941
160,Kob_53,"(34.713182, 135.300213)",2015-02-08 23:51:28.004228
161,Kob_08,"(34.707118, 135.506597)",2015-02-08 23:51:28.023509
162,Osa_73,"(34.702439, 135.613624)",2015-02-08 23:51:28.048554
163,Osa_76,"(34.721786, 135.160255)",2015-02-08 23:51:28.063499
164,Osa_06,"(34.725087, 135.109622)",2015-02-08 23:51:28.081150
165,Kob_25,"(34.722078, 134.706780)",2015-02-08 23:51:28.097163
166,Osa_65,"(34.706511, 135.675836)",2015-02-08 23:51:28.111723
167,Kob_68,"(34.742246, 134.778627)",2015-02-08 23:51:28.126377
168,Osa_37,"(34.699983, 135.913200)",2015-02-08 23:51:28.144417
169,Osa_05,"(34.744897, 135.179797)",2015-02-08 23:51:28.166728
170,Kyo_96,"(34.674030, 136.166104)",2015-02-08 23:51:28.184106
171,Kob_55,"(34.728582, 135.662702)",2015-02-08 23:51:28.206636
172,Osa_14,"(34.751710, 135.192708)",2015-02-08 23:51:28.221182
173,Kob_09,"(34.730577, 135.655829)",2015-02-08 23:51:28.244307
174,Kyo_32,"(34.688567, 136.109392)",2015-02-08 23:51:28.259108
175,Kyo_51,"(34.752124, 135.309716)",2015-02-08 23:51:28.277717
176,Osa_89,"(34.760470, 135.000883)",2015-02-08 23:51:28.293055
177,Kyo_11,"(34.741357, 135.705271)",2015-02-08 23:51:28.308953
178,Fuk_74,"(33.168705, 129.937388)",2015-02-08 23:51:28.339031
179,Fuk_46,"(33.375315, 130.227768)",2015-02-08 23:51:28.355406
180,Fuk_01,"(33.336149, 130.169910)",2015-02-08 23:51:28.375010
181,Fuk_15,"(33.581038, 130.550257)",2015-02-08 23:51:28.388378
182,Osa_99,"(34.774067, 135.081653)",2015-02-08 23:51:28.407275
183,Fuk_29,"(33.731920, 130.807442)",2015-02-08 23:51:28.422513
184,Fuk_96,"(33.371833, 130.200315)",2015-02-08 23:51:28.436845
185,Fuk_92,"(33.693288, 130.714227)",2015-02-08 23:51:28.456069
186,Kob_75,"(34.787539, 134.863646)",2015-02-08 23:51:28.476209
187,Fuk_78,"(33.247966, 130.012066)",2015-02-08 23:51:28.492726
188,Osa_63,"(34.780721, 135.430108)",2015-02-08 23:51:28.508415
189,Osa_00,"(34.792836, 135.026752)",2015-02-08 23:51:28.525419
190,Kob_01,"(34.792594, 135.118287)",2015-02-08 23:51:28.541246
191,Fuk_28,"(33.675838, 130.662344)",2015-02-08 23:51:28.559863
192,Fuk_50,"(33.696605, 130.697018)",2015-02-08 23:51:28.578527
193,Kyo_22,"(34.785071, 135.590120)",2015-02-08 23:51:28.599364
194,Fuk_98,"(33.449800, 130.276655)",2015-02-08 23:51:28.619501
195,Kob_47,"(34.803692, 134.781565)",2015-02-08 23:51:28.636523
196,Fuk_90,"(33.710792, 130.700384)",2015-02-08 23:51:28.650662
197,Kyo_91,"(34.750273, 136.053605)",2015-02-08 23:51:28.664773
198,Kob_63,"(34.805979, 135.407028)",2015-02-08 23:51:28.680351
199,Kob_61,"(34.797779, 135.658748)",2015-02-08 23:51:28.697965
200,Fuk_13,"(33.301207, 130.028449)",2015-02-08 23:51:28.711400
201,Osa_85,"(34.812894, 135.414973)",2015-02-08 23:51:28.728165
202,Fuk_39,"(33.653576, 130.568147)",2015-02-08 23:51:28.751038
203,Kyo_20,"(34.816701, 135.346923)",2015-02-08 23:51:28.766175
204,Osa_75,"(34.807340, 135.608173)",2015-02-08 23:51:28.780743
205,Fuk_68,"(33.264889, 129.967242)",2015-02-08 23:51:28.795188
206,Kob_51,"(34.828477, 135.076066)",2015-02-08 23:51:28.811877
207,Kyo_33,"(34.801049, 135.851211)",2015-02-08 23:51:28.832667
208,Kyo_16,"(34.819723, 135.656724)",2015-02-08 23:51:28.858479
209,Fuk_84,"(33.371464, 130.082787)",2015-02-08 23:51:28.875819
210,Fuk_23,"(33.808532, 130.785784)",2015-02-08 23:51:28.891703
211,Osa_93,"(34.836630, 135.499814)",2015-02-08 23:51:28.905861
212,Kob_82,"(34.848294, 135.278163)",2015-02-08 23:51:28.924427
213,Kob_38,"(34.853898, 135.023526)",2015-02-08 23:51:28.938855
214,Fuk_14,"(33.568588, 130.363835)",2015-02-08 23:51:28.952616
215,Osa_90,"(34.857031, 135.286878)",2015-02-08 23:51:28.968535
216,Kyo_30,"(34.810244, 136.001020)",2015-02-08 23:51:28.983787
217,Kyo_93,"(34.811132, 136.003070)",2015-02-08 23:51:29.004441
218,Kob_87,"(34.864132, 135.431134)",2015-02-08 23:51:29.022426
219,Kyo_29,"(34.792412, 136.240059)",2015-02-08 23:51:29.037714
220,Fuk_87,"(33.534870, 130.266493)",2015-02-08 23:51:29.054314
221,Fuk_24,"(33.280711, 129.884722)",2015-02-08 23:51:29.072319
222,Fuk_16,"(33.727317, 130.563271)",2015-02-08 23:51:29.085228
223,Kob_07,"(34.893961, 134.908998)",2015-02-08 23:51:29.100692
224,Fuk_22,"(33.299257, 129.891582)",2015-02-08 23:51:29.119920
225,Osa_21,"(34.882511, 135.534457)",2015-02-08 23:51:29.147429
226,Kob_59,"(34.897090, 134.808207)",2015-02-08 23:51:29.280954
227,Kyo_43,"(34.871259, 135.736113)",2015-02-08 23:51:29.302657
228,Nag_85,"(34.737556, 136.740599)",2015-02-08 23:51:29.319816
229,Kob_35,"(34.890900, 135.456111)",2015-02-08 23:51:29.335998
230,Fuk_85,"(33.391363, 130.002939)",2015-02-08 23:51:29.347504
231,Kyo_84,"(34.857279, 136.015983)",2015-02-08 23:51:29.364302
232,Kyo_45,"(34.878738, 135.804114)",2015-02-08 23:51:29.382832
233,Nag_17,"(34.716068, 136.913481)",2015-02-08 23:51:29.398343
234,Kob_13,"(34.914570, 135.081307)",2015-02-08 23:51:29.413910
235,Fuk_05,"(33.839944, 130.699143)",2015-02-08 23:51:29.430203
236,Kyo_00,"(34.881073, 135.802591)",2015-02-08 23:51:29.451438
237,Fuk_42,"(33.521733, 130.170308)",2015-02-08 23:51:29.471185
238,Kyo_46,"(34.910045, 135.412179)",2015-02-08 23:51:29.485234
239,Kob_26,"(34.908620, 135.449383)",2015-02-08 23:51:29.499665
240,Nag_97,"(34.781344, 136.611653)",2015-02-08 23:51:29.520028
241,Kob_45,"(34.918188, 135.297343)",2015-02-08 23:51:29.544335
242,Kob_96,"(34.919825, 134.710811)",2015-02-08 23:51:29.569733
243,Kyo_75,"(34.862727, 136.088478)",2015-02-08 23:51:29.586599
244,Kob_24,"(34.908269, 135.585444)",2015-02-08 23:51:29.599255
245,Nag_20,"(34.779977, 136.672438)",2015-02-08 23:51:29.615599
246,Kob_31,"(34.930947, 135.040580)",2015-02-08 23:51:29.630978
247,Nag_11,"(34.733760, 136.921848)",2015-02-08 23:51:29.652314
248,Kob_86,"(34.917763, 135.585589)",2015-02-08 23:51:29.668901
249,Osa_69,"(34.924419, 135.557342)",2015-02-08 23:51:29.684176
250,Kyo_70,"(34.902462, 135.859138)",2015-02-08 23:51:29.698800
251,Kob_58,"(34.943237, 134.921392)",2015-02-08 23:51:29.723257
252,Kyo_12,"(34.934291, 135.420881)",2015-02-08 23:51:29.741142
253,Kob_40,"(34.937698, 135.457234)",2015-02-08 23:51:29.762185
254,Nag_96,"(34.748698, 136.952357)",2015-02-08 23:51:29.780663
255,Kob_42,"(34.950556, 135.221934)",2015-02-08 23:51:29.800786
256,Osa_25,"(34.948303, 135.382601)",2015-02-08 23:51:29.819900
257,Nag_83,"(34.702338, 137.176887)",2015-02-08 23:51:29.837633
258,Fuk_03,"(33.755606, 130.460079)",2015-02-08 23:51:29.854805
259,Fuk_51,"(33.636006, 130.262148)",2015-02-08 23:51:29.870993
260,Kyo_15,"(34.927151, 135.793386)",2015-02-08 23:51:29.893721
261,Fuk_72,"(33.481743, 130.021766)",2015-02-08 23:51:29.910661
262,Kyo_17,"(34.924179, 135.879375)",2015-02-08 23:51:29.932313
263,Nag_53,"(34.775746, 136.901615)",2015-02-08 23:51:29.948782
264,Kob_90,"(34.949318, 135.624352)",2015-02-08 23:51:29.964148
265,Fuk_07,"(33.753933, 130.433232)",2015-02-08 23:51:29.981006
266,Kyo_54,"(34.908122, 136.106089)",2015-02-08 23:51:30.000869
267,Kob_12,"(34.972873, 135.078623)",2015-02-08 23:51:30.024384
268,Nag_01,"(34.777055, 136.936601)",2015-02-08 23:51:30.048454
269,Kyo_56,"(34.952519, 135.687131)",2015-02-08 23:51:30.065782
270,Fuk_89,"(33.470612, 129.980477)",2015-02-08 23:51:30.082517
271,Osa_10,"(34.974585, 135.287933)",2015-02-08 23:51:30.098695
272,Nag_00,"(34.842833, 136.615263)",2015-02-08 23:51:30.115005
273,Kyo_98,"(34.972683, 135.424039)",2015-02-08 23:51:30.134708
274,Nag_05,"(34.834414, 136.671624)",2015-02-08 23:51:30.151306
275,Kyo_41,"(34.974495, 135.533744)",2015-02-08 23:51:30.165306
276,Nag_42,"(34.759905, 137.079151)",2015-02-08 23:51:30.182276
277,Osa_02,"(34.973943, 135.563763)",2015-02-08 23:51:30.203922
278,Kyo_95,"(34.918216, 136.176405)",2015-02-08 23:51:30.223746
279,Kyo_13,"(34.967384, 135.675235)",2015-02-08 23:51:30.246273
280,Nag_50,"(34.795823, 136.918260)",2015-02-08 23:51:30.265731
281,Nag_79,"(34.834474, 136.748623)",2015-02-08 23:51:30.280076
282,Osa_54,"(34.998736, 135.092986)",2015-02-08 23:51:30.292490
283,Kyo_61,"(34.920455, 136.228297)",2015-02-08 23:51:30.308269
284,Kyo_60,"(34.994696, 135.331555)",2015-02-08 23:51:30.325689
285,Kob_10,"(34.978619, 135.649622)",2015-02-08 23:51:30.342384
286,Kob_05,"(34.996594, 134.711238)",2015-02-08 23:51:30.361762
287,Nag_16,"(34.724745, 137.281142)",2015-02-08 23:51:30.377521
288,Kyo_80,"(34.926802, 136.218829)",2015-02-08 23:51:30.393048
289,Osa_82,"(34.998294, 135.405948)",2015-02-08 23:51:30.411634
290,Nag_73,"(34.827352, 136.846236)",2015-02-08 23:51:30.433279
291,Kyo_71,"(34.944911, 136.110929)",2015-02-08 23:51:30.452243
292,Fuk_02,"(33.987009, 130.756645)",2015-02-08 23:51:30.474147
293,Kyo_07,"(34.954077, 136.117971)",2015-02-08 23:51:30.496698
294,Nag_12,"(34.782144, 137.127592)",2015-02-08 23:51:30.514612
295,Osa_04,"(34.995131, 135.729314)",2015-02-08 23:51:30.529764
296,Kyo_04,"(34.985480, 135.851864)",2015-02-08 23:51:30.545392
297,Kyo_44,"(34.946606, 136.215608)",2015-02-08 23:51:30.570573
298,Kob_29,"(35.023022, 134.801384)",2015-02-08 23:51:30.584301
299,Osa_94,"(35.028637, 135.005414)",2015-02-08 23:51:30.603634
300,Kyo_69,"(34.998305, 135.780129)",2015-02-08 23:51:30.618889
301,Nag_71,"(34.865238, 136.782885)",2015-02-08 23:51:30.633923
302,Osa_20,"(35.042140, 135.265536)",2015-02-08 23:51:30.651332
303,Osa_67,"(35.048810, 135.167500)",2015-02-08 23:51:30.668617
304,Kyo_63,"(35.026660, 135.724852)",2015-02-08 23:51:30.682103
305,Fuk_34,"(33.652016, 130.099122)",2015-02-08 23:51:30.698291
306,Kob_00,"(35.058949, 134.728316)",2015-02-08 23:51:30.717627
307,Nag_07,"(34.939274, 136.540198)",2015-02-08 23:51:30.734831
308,Kyo_67,"(35.016790, 135.991708)",2015-02-08 23:51:30.750630
309,Nag_21,"(34.959847, 136.449121)",2015-02-08 23:51:30.766769
310,Kyo_27,"(35.021411, 135.979929)",2015-02-08 23:51:30.786185
311,Osa_36,"(35.031150, 135.883092)",2015-02-08 23:51:30.801112
312,Kyo_88,"(35.057212, 135.530243)",2015-02-08 23:51:30.823169
313,Osa_87,"(35.064608, 135.401148)",2015-02-08 23:51:30.839462
314,Kyo_37,"(35.069335, 135.319021)",2015-02-08 23:51:30.856282
315,Kob_98,"(35.061440, 135.509217)",2015-02-08 23:51:30.877797
316,Osa_31,"(35.062052, 135.504377)",2015-02-08 23:51:30.891690
317,Kyo_03,"(35.062947, 135.541862)",2015-02-08 23:51:30.908369
318,Nag_82,"(34.858133, 137.061724)",2015-02-08 23:51:30.926626
319,Kob_66,"(35.090971, 134.840331)",2015-02-08 23:51:30.942540
320,Kyo_74,"(35.085593, 135.422681)",2015-02-08 23:51:30.959358
321,Osa_39,"(35.090291, 135.341029)",2015-02-08 23:51:30.978814
322,Fuk_69,"(33.933144, 130.470702)",2015-02-08 23:51:30.995285
323,Fuk_43,"(34.104924, 130.775843)",2015-02-08 23:51:31.018092
324,Fuk_00,"(33.601251, 129.915402)",2015-02-08 23:51:31.034076
325,Kyo_14,"(35.046557, 136.132208)",2015-02-08 23:51:31.052503
326,Nag_47,"(34.872332, 137.151310)",2015-02-08 23:51:31.070471
327,Fuk_56,"(34.095117, 130.726455)",2015-02-08 23:51:31.090029
328,Kyo_66,"(35.113548, 135.340924)",2015-02-08 23:51:31.103880
329,Osa_80,"(35.096462, 135.711930)",2015-02-08 23:51:31.123879
330,Kob_60,"(35.122293, 135.226455)",2015-02-08 23:51:31.149135
331,Kyo_08,"(35.048768, 136.227173)",2015-02-08 23:51:31.163689
332,Nag_35,"(35.011733, 136.513916)",2015-02-08 23:51:31.183009
333,Osa_33,"(35.124313, 135.432203)",2015-02-08 23:51:31.201309
334,Fuk_48,"(33.607779, 129.880624)",2015-02-08 23:51:31.217837
335,Kyo_99,"(35.131881, 135.300894)",2015-02-08 23:51:31.231370
336,Fuk_86,"(33.621984, 129.900573)",2015-02-08 23:51:31.249037
337,Nag_30,"(34.910543, 137.089926)",2015-02-08 23:51:31.266513
338,Fuk_63,"(34.005464, 130.514256)",2015-02-08 23:51:31.286384
339,Fuk_54,"(33.902911, 130.334918)",2015-02-08 23:51:31.302016
340,Osa_16,"(35.133982, 135.375752)",2015-02-08 23:51:31.316142
341,Kob_70,"(35.137885, 135.418845)",2015-02-08 23:51:31.339698
342,Kyo_90,"(35.149649, 135.295277)",2015-02-08 23:51:31.355893
343,Nag_36,"(34.934294, 137.070544)",2015-02-08 23:51:31.373811
344,Fuk_80,"(34.014305, 130.486499)",2015-02-08 23:51:31.387651
345,Kob_44,"(35.149061, 135.467416)",2015-02-08 23:51:31.466822
346,Osa_88,"(35.131316, 135.781947)",2015-02-08 23:51:31.487628
347,Fuk_53,"(33.789015, 130.098035)",2015-02-08 23:51:31.504241
348,Kyo_85,"(35.144230, 135.660650)",2015-02-08 23:51:31.520766
349,Osa_62,"(35.163600, 135.266507)",2015-02-08 23:51:31.535346
350,Osa_11,"(35.143145, 135.695531)",2015-02-08 23:51:31.555136
351,Kyo_72,"(35.165750, 135.297078)",2015-02-08 23:51:31.569209
352,Osa_51,"(35.152466, 135.626114)",2015-02-08 23:51:31.588202
353,Nag_54,"(34.888831, 137.349711)",2015-02-08 23:51:31.611176
354,Osa_22,"(35.135137, 135.910816)",2015-02-08 23:51:31.632736
355,Fuk_18,"(33.677155, 129.894256)",2015-02-08 23:51:31.647906
356,Osa_55,"(35.182327, 135.242480)",2015-02-08 23:51:31.670384
357,Kyo_48,"(35.171035, 135.550354)",2015-02-08 23:51:31.687075
358,Kob_43,"(35.183705, 134.760205)",2015-02-08 23:51:31.705783
359,Osa_45,"(35.181668, 135.359752)",2015-02-08 23:51:31.726176
360,Nag_26,"(34.951399, 137.144885)",2015-02-08 23:51:31.743157
361,Kyo_58,"(35.162824, 135.747357)",2015-02-08 23:51:31.759706
362,Fuk_09,"(33.813056, 130.076318)",2015-02-08 23:51:31.774970
